from_city,to_city,distance_km
Станция Силикатная,Москва,21.67
Станция Силикатная,Санкт-Петербург,машрут не может быть построен
Станция Силикатная,"Майкоп, Республика Адыгея",1384.61
Станция Силикатная,"Адыгейск, Республика Адыгея",1346.08
Станция Силикатная,"Горно-Алтайск, Республика Алтай",3835.08
Станция Силикатная,"Уфа, Республика Башкортостан",1349.86
Станция Силикатная,"Стерлитамак, Республика Башкортостан",1480.09
Станция Силикатная,"Салават, Республика Башкортостан",1516.8
Станция Силикатная,"Нефтекамск, Республика Башкортостан",1236.29
Станция Силикатная,"Октябрьский, Республика Башкортостан",1179.45
Станция Силикатная,"Белебей, Республика Башкортостан",1259.59
Станция Силикатная,"Белорецк, Республика Башкортостан",1603.61
Станция Силикатная,"Бирск, Республика Башкортостан",1300.15
Станция Силикатная,"Туймазы, Республика Башкортостан",1200.79
Станция Силикатная,"Кумертау, Республика Башкортостан",1543.9
Станция Силикатная,"Мелеуз, Республика Башкортостан",1563.61
Станция Силикатная,"Сибай, Республика Башкортостан",1757.74
Станция Силикатная,"Благовещенск, Республика Башкортостан",1364.6
Станция Силикатная,"Дюртюли, Республика Башкортостан",1243.71
Станция Силикатная,"Янаул, Республика Башкортостан",1285.27
Станция Силикатная,"Давлеканово, Республика Башкортостан",1294.72
Станция Силикатная,"Ишимбай, Республика Башкортостан",1516.82
Станция Силикатная,"Улан-Удэ, Республика Бурятия",5623.55
Станция Силикатная,"Северобайкальск, Республика Бурятия",5717.46
Станция Силикатная,"Гусиноозёрск, Республика Бурятия",5719.73
Станция Силикатная,"Кяхта, Республика Бурятия",5840.08
Станция Силикатная,"Бабушкин, Республика Бурятия",5447.6
Станция Силикатная,"Закаменск, Республика Бурятия",6019.48
Станция Силикатная,"Махачкала, Республика Дагестан",1875.02
Станция Силикатная,"Дербент, Республика Дагестан",1995.87
Станция Силикатная,"Хасавюрт, Республика Дагестан",1790.95
Станция Силикатная,"Каспийск, Республика Дагестан",1893.13
Станция Силикатная,"Буйнакск, Республика Дагестан",1864.77
Станция Силикатная,"Кизилюрт, Республика Дагестан",1816.56
Станция Силикатная,"Избербаш, Республика Дагестан",1926.46
Станция Силикатная,"Южно-Сухокумск, Республика Дагестан",1728.14
Станция Силикатная,"Кизляр, Республика Дагестан",1721.73
Станция Силикатная,"Дагестанские Огни, Республика Дагестан",1985.51
Станция Силикатная,"Магас, Республика Ингушетия",1784.24
Станция Силикатная,"Назрань, Республика Ингушетия",1786.57
Станция Силикатная,"Карабулак, Республика Ингушетия",1801.1
Станция Силикатная,"Малгобек, Республика Ингушетия",1759.68
Станция Силикатная,"Нальчик, Кабардино-Балкария",1673.29
Станция Силикатная,"Прохладный, Кабардино-Балкария",1686.97
Станция Силикатная,"Баксан, Кабардино-Балкария",машрут не может быть построен
Станция Силикатная,"Нарткала, Кабардино-Балкария",1687.51
